Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	Irons	3rds
55=	Lazar Popović	ESL	Belgrade B	79	77	81	76	79	78	77	79	85	711	79.00	2.54
58=	Amelia P		Oxford E	81	80	77	77	81	79	78	76	81	710	78.89	1.85
58=	Harvey Olden		GUU B	80	78	83	77	79	81	75	80	77	710	78.89	2.28
58=	Zachary Too		Warwick YZ	80	81	79	79	76	78	82	80	75	710	78.89	2.13
58=	Parth Pandya		St Andrews B	77	81	79	79	79	81	79	78	77	710	78.89	1.37
62=	Oisín Browne		TCD Phil A	79	80	77	80	78	82	76	77	80	709	78.78	1.81
62=	Cyrus Braden		EUDU BF	81	77	75	81	78	80	77	79	81	709	78.78	2.04
62=	Victor Tong		Sciences Po A	79	79	79	79	81	77	78	78	79	709	78.78	1.03
62=	Tanel Mütt	ESL	Tartu A	78	81	81	80	75	74	79	82	79	709	78.78	2.57
66=	Ziyad Anwer		TCD Hist AM	78	79	76	79	78	78	79	83	78	708	78.67	1.76
66=	Adora Sabau	ESL	Munich B	79	80	80	78	74	79	78	81	79	708	78.67	1.89
66=	Gareth Lim		Oxford C	73	79	77	80	81	74	79	81	84	708	78.67	3.30
